homeTeamStats,awayTeamStats,Stat,id
8.0,11.0,Tackles,93631
18.0,25.0,Clearances,93631
11.0,3.0,Corners,93631
0.0,4.0,Offsides,93631
2.0,2.0,Yellow cards,93631
15.0,11.0,Fouls conceded,93631
3.0,3.0,Goal,93631
37.0,63.0,Possession %,93634
3.0,1.0,Shots on target,93634
12.0,6.0,Shots,93634
507.0,706.0,Touches,93634
294.0,523.0,Passes,93634
26.0,14.0,Tackles,93634
25.0,17.0,Clearances,93634
3.0,5.0,Corners,93634
10.0,1.0,Offsides,93634
2.0,1.0,Yellow cards,93634
0.0,1.0,Red cards,93634
11.0,13.0,Fouls conceded,93634
1.0,0.0,Goal,93634
66.6,33.4,Possession %,93635
4.0,5.0,Shots on target,93635
14.0,12.0,Shots,93635
782.0,510.0,Touches,93635
588.0,296.0,Passes,93635
20.0,14.0,Tackles,93635
6.0,32.0,Clearances,93635
14.0,3.0,Corners,93635
0.0,2.0,Offsides,93635
1.0,2.0,Yellow cards,93635
10.0,13.0,Fouls conceded,93635
0.0,1.0,Goal,93635
55.8,44.2,Possession %,93636
9.0,1.0,Shots on target,93636
19.0,8.0,Shots,93636
627.0,559.0,Touches,93636
401.0,327.0,Passes,93636
24.0,23.0,Tackles,93636
18.0,30.0,Clearances,93636
7.0,2.0,Corners,93636
7.0,14.0,Fouls conceded,93636
2.0,1.0,Goal,93636
58.3,41.7,Possession %,93640
7.0,4.0,Shots on target,93640
14.0,11.0,Shots,93640
798.0,634.0,Touches,93640
595.0,414.0,Passes,93640
35.0,22.0,Tackles,93640
16.0,15.0,Clearances,93640
4.0,4.0,Corners,93640
3.0,0.0,Offsides,93640
5.0,2.0,Yellow cards,93640
15.0,7.0,Fouls conceded,93640
1.0,2.0,Goal,93640
54.7,45.3,Possession %,93632
2.0,7.0,Shots on target,93632
10.0,20.0,Shots,93632
711.0,621.0,Touches,93632
529.0,439.0,Passes,93632
19.0,14.0,Tackles,93632
17.0,17.0,Clearances,93632
8.0,7.0,Corners,93632
2.0,2.0,Offsides,93632
1.0,2.0,Yellow cards,93632
14.0,13.0,Fouls conceded,93632
0.0,3.0,Goal,93632
82.9,17.1,Possession %,93628
9.0,3.0,Shots on target,93628
29.0,5.0,Shots,93628
985.0,340.0,Touches,93628
786.0,168.0,Passes,93628
15.0,17.0,Tackles,93628
5.0,40.0,Clearances,93628
13.0,1.0,Corners,93628
0.0,1.0,Offsides,93628
0.0,1.0,Yellow cards,93628
6.0,9.0,Fouls conceded,93628
3.0,1.0,Goal,93628
56.6,43.4,Possession %,93627
10.0,5.0,Shots on target,93627
28.0,19.0,Shots,93627
745.0,610.0,Touches,93627
549.0,426.0,Passes,93627
12.0,18.0,Tackles,93627
